,pp,Intgov,Intciv,Elections,Interrim,Natalks,Shagov,Pol_prov,Aut,Fed,Ind,Ref,Shaloc,Regdev,Cul,Demarcation,Locgov,Terr_prov,combination
76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3
77,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,1,299
78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
79,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,27
80,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,1,68627
81,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,1,17419
82,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,25600
83,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,25600
84,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,13312
85,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,9216
86,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,17408
87,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,25600
88,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,25600
89,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,25600
90,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,25600
91,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,25600
92,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,25600
93,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,25600
94,0,1,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,93184
95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
96,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,17408
97,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,17408
98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,17408
101,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,17408
102,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,19
103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,11
104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3
105,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,513
106,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,513
107,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,513
108,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,513
109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,5
111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,5
112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,5
113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,5
114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,5
115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,5
116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,5
117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,5
118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,5
119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,5
120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,5
121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,5
122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3
123,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,1,17419
124,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1,59
125,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,57
126,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,1,555
127,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,66560
128,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,82944
129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
130,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
