,Monat,,,Januar 2017,,,,,,Februar 2017,,,,,,März 2017,,,,,,April 2017,,,,,,Mai 2017,,,,,,Juni 2017,,,,,,Juli 2017,,,,,,August 2017,,,,,,September 2017,,,
,Nationalität,,Ausländer,,,Schweizer,,,Ausländer,,,Schweizer,,,Ausländer,,,Schweizer,,,Ausländer,,,Schweizer,,,Ausländer,,,Schweizer,,,Ausländer,,,Schweizer,,,Ausländer,,,Schweizer,,,Ausländer,,,Schweizer,,,Ausländer,,,Schweizer,
Kanton,"Altersklassen 15-24, 25-49, 50 und mehr",1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3
,,15-24 Jahre,25-49 Jahre,50 und mehr,15-24 Jahre,25-49 Jahre,50 und mehr,15-24 Jahre,25-49 Jahre,50 und mehr,15-24 Jahre,25-49 Jahre,50 und mehr,15-24 Jahre,25-49 Jahre,50 und mehr,15-24 Jahre,25-49 Jahre,50 und mehr,15-24 Jahre,25-49 Jahre,50 und mehr,15-24 Jahre,25-49 Jahre,50 und mehr,15-24 Jahre,25-49 Jahre,50 und mehr,15-24 Jahre,25-49 Jahre,50 und mehr,15-24 Jahre,25-49 Jahre,50 und mehr,15-24 Jahre,25-49 Jahre,50 und mehr,15-24 Jahre,25-49 Jahre,50 und mehr,15-24 Jahre,25-49 Jahre,50 und mehr,15-24 Jahre,25-49 Jahre,50 und mehr,15-24 Jahre,25-49 Jahre,50 und mehr,15-24 Jahre,25-49 Jahre,50 und mehr,15-24 Jahre,25-49 Jahre,50 und mehr
,Metriken,Registrierte Arbeitslose,Registrierte Arbeitslose,Registrierte Arbeitslose,Registrierte Arbeitslose,Registrierte Arbeitslose,Registrierte Arbeitslose,Registrierte Arbeitslose,Registrierte Arbeitslose,Registrierte Arbeitslose,Registrierte Arbeitslose,Registrierte Arbeitslose,Registrierte Arbeitslose,Registrierte Arbeitslose,Registrierte Arbeitslose,Registrierte Arbeitslose,Registrierte Arbeitslose,Registrierte Arbeitslose,Registrierte Arbeitslose,Registrierte Arbeitslose,Registrierte Arbeitslose,Registrierte Arbeitslose,Registrierte Arbeitslose,Registrierte Arbeitslose,Registrierte Arbeitslose,Registrierte Arbeitslose,Registrierte Arbeitslose,Registrierte Arbeitslose,Registrierte Arbeitslose,Registrierte Arbeitslose,Registrierte Arbeitslose,Registrierte Arbeitslose,Registrierte Arbeitslose,Registrierte Arbeitslose,Registrierte Arbeitslose,Registrierte Arbeitslose,Registrierte Arbeitslose,Registrierte Arbeitslose,Registrierte Arbeitslose,Registrierte Arbeitslose,Registrierte Arbeitslose,Registrierte Arbeitslose,Registrierte Arbeitslose,Registrierte Arbeitslose,Registrierte Arbeitslose,Registrierte Arbeitslose,Registrierte Arbeitslose,Registrierte Arbeitslose,Registrierte Arbeitslose,Registrierte Arbeitslose,Registrierte Arbeitslose,Registrierte Arbeitslose,Registrierte Arbeitslose,Registrierte Arbeitslose,Registrierte Arbeitslose
Glarus,,37,172,74,48,130,106,37,178,71,49,137,104,33,174,67,42,138,97,26,155,66,37,138,95,23,150,58,28,130,95,18,136,55,27,117,88,19,119,57,32,104,84,23,127,53,36,113,83,21,107,56,39,104,89
Zug,,55,558,214,117,502,310,63,562,207,118,505,329,55,554,196,105,501,318,48,549,194,104,485,324,39,542,184,89,455,343,42,498,184,72,450,330,49,490,189,70,452,324,56,478,178,121,451,320,41,497,179,92,438,296
Freiburg,,253,1'915,552,403,1'340,752,240,1'658,496,391,1'291,735,200,1'516,438,361,1'275,709,185,1'400,396,357,1'307,717,166,1'228,372,318,1'227,670,146,1'174,349,291,1'265,667,182,1'264,360,359,1'466,741,320,1'288,376,469,1'451,763,269,1'252,367,414,1'376,788
Solothurn,,265,1'426,463,411,1'307,872,254,1'388,453,394,1'257,856,230,1'303,454,348,1'241,844,202,1'266,432,331,1'201,849,184,1'205,422,310,1'142,811,171,1'088,423,285,1'108,785,207,1'006,418,361,1'110,798,253,952,426,442,1'068,812,218,930,421,366,1'061,805
Basel-Stadt,,170,1'681,481,249,1'101,499,173,1'652,452,243,1'063,492,159,1'591,429,252,1'074,487,132,1'498,411,257,1'079,486,124,1'429,388,215,1'017,479,128,1'413,378,202,982,478,135,1'357,369,210,972,471,149,1'365,347,296,1'002,467,145,1'305,330,263,957,455
Basel-Landschaft,,177,1'372,404,387,1'416,903,162,1'396,395,366,1'435,902,142,1'344,408,333,1'405,904,128,1'259,386,311,1'354,907,115,1'212,377,296,1'327,900,131,1'162,373,292,1'305,914,142,1'114,356,350,1'298,891,167,1'097,344,389,1'300,873,165,1'089,342,359,1'270,857
Schaffhausen,,99,529,186,152,386,235,100,517,181,168,403,239,87,485,158,160,395,235,87,448,154,147,371,229,86,448,150,141,390,226,80,421,144,140,373,231,86,398,137,150,334,217,77,407,125,143,343,214,82,381,132,144,341,206
Appenzell Ausserrhoden,,17,147,67,65,158,156,14,142,63,64,153,156,13,120,65,54,148,151,13,123,65,46,143,149,10,120,65,46,144,149,10,117,60,48,133,156,8,123,66,42,150,154,15,106,57,45,151,145,21,108,50,44,151,149
Appenzell Innerrhoden,,8,44,19,10,29,19,6,36,17,8,29,22,6,27,17,6,24,18,2,16,14,7,27,20,3,12,14,3,23,17,4,13,12,7,19,22,5,9,10,9,17,18,6,12,7,9,17,16,6,10,7,10,14,15
St. Gallen,,465,2'570,810,700,1'855,1'197,445,2'460,792,643,1'807,1'187,407,2'327,765,585,1'712,1'187,365,2'175,753,571,1'649,1'172,337,2'077,728,525,1'583,1'133,339,1'959,689,479,1'522,1'072,337,1'934,682,476,1'546,1'079,443,1'936,662,700,1'532,1'048,408,1'844,650,638,1'550,1'037
Graubünden,,63,887,292,148,400,327,71,738,268,139,356,310,74,641,235,119,318,281,89,996,277,135,374,342,84,846,234,129,377,319,43,391,151,100,319,269,45,301,124,98,280,236,45,258,124,139,255,225,53,336,138,141,277,221
Aargau,,641,4'359,1'311,975,3'258,2'078,638,4'303,1'295,972,3'234,2'109,591,4'095,1'310,842,3'169,2'091,525,3'934,1'238,794,3'074,2'063,533,3'716,1'200,748,3'067,2'042,533,3'578,1'151,709,2'997,2'062,553,3'347,1'080,817,2'913,2'009,654,3'335,1'073,992,2'843,1'987,597,3'270,1'105,958,2'792,1'962
Thurgau,,208,1'343,499,366,965,586,211,1'333,498,368,951,575,207,1'243,486,336,883,566,175,1'112,444,314,832,545,159,1'027,428,283,802,563,166,967,383,260,780,534,185,969,392,273,776,531,228,923,389,382,759,543,188,893,394,329,733,521
Tessin,,241,2'144,920,615,1'784,1'053,228,2'090,908,591,1'762,1'044,240,1'819,832,561,1'669,985,209,1'598,742,509,1'570,938,180,1'466,719,480,1'497,932,162,1'401,722,464,1'428,914,161,1'347,698,441,1'436,899,214,1'360,705,542,1'459,872,231,1'378,694,572,1'472,855
Waadt,,765,7'898,2'260,1'260,5'929,2'560,699,7'563,2'168,1'248,5'730,2'579,661,7'143,2'036,1'126,5'518,2'543,630,6'774,1'954,1'058,5'441,2'496,595,6'403,1'858,990,5'355,2'413,491,5'965,1'691,929,5'250,2'427,550,5'932,1'661,1'071,5'394,2'497,717,5'987,1'651,1'351,5'336,2'456,625,5'987,1'652,1'279,5'203,2'409
Wallis,,408,3'584,1'351,634,2'020,1'062,351,3'049,1'163,603,1'838,1'029,301,2'417,925,524,1'673,931,269,2'232,853,494,1'628,929,235,1'844,667,471,1'573,897,246,1'535,499,454,1'462,843,268,1'447,474,487,1'508,821,297,1'436,513,528,1'481,808,287,1'352,487,459,1'448,783
Neuenburg,,277,1'995,568,530,1'851,831,285,1'970,534,512,1'872,841,262,1'813,516,483,1'774,859,233,1'686,474,470,1'692,859,214,1'552,456,441,1'643,830,191,1'394,426,423,1'558,780,185,1'410,421,452,1'605,779,214,1'380,409,539,1'546,776,216,1'353,401,510,1'476,782
Genf,,358,5'142,1'265,635,4'286,1'620,348,5'028,1'253,587,4'161,1'594,326,4'906,1'206,549,4'123,1'602,278,4'745,1'163,500,4'027,1'616,260,4'678,1'173,485,3'997,1'611,246,4'603,1'121,468,4'008,1'564,241,4'536,1'097,480,4'091,1'599,265,4'519,1'095,555,4'087,1'609,297,4'561,1'084,617,4'066,1'609
Jura,,68,458,140,260,612,392,66,442,137,260,635,375,67,408,123,223,585,376,55,391,115,212,572,373,43,375,116,172,556,353,48,362,118,161,551,340,61,358,116,168,556,344,59,358,117,249,571,357,46,344,115,220,548,346
