2 Arbeitslosenquoten
"Nationalität,""Kanton"",""Monat"",""Januar 2017"",""Februar 2017"",""März 2017"",""April 2017"",""Mai 2017"",""Juni 2017"",""Juli 2017"",""August 2017"",""September 2017"",""Oktober 2017"""
"Schweizer,""Appenzell Ausserrhoden"",,""1.5"",""1.5"",""1.4"",""1.3"",""1.3"",""1.3"",""1.4"",""1.3"",""1.4"",""0"""
"Schweizer,""Appenzell Innerrhoden"",,""0.7"",""0.7"",""0.6"",""0.7"",""0.5"",""0.6"",""0.6"",""0.5"",""0.5"",""0"""
"Schweizer,""St. Gallen"",,""1.8"",""1.7"",""1.7"",""1.6"",""1.5"",""1.5"",""1.5"",""1.6"",""1.5"",""0"""
"Schweizer,""Graubünden"",,""1"",""0.9"",""0.8"",""1"",""0.9"",""0.8"",""0.7"",""0.7"",""0.7"",""0"""
"Schweizer,""Aargau"",,""2.3"",""2.3"",""2.2"",""2.2"",""2.1"",""2.1"",""2.1"",""2.1"",""2.1"",""0"""
"Schweizer,""Thurgau"",,""1.7"",""1.7"",""1.6"",""1.5"",""1.5"",""1.4"",""1.4"",""1.5"",""1.4"",""0"""
"Schweizer,""Tessin"",,""2.9"",""2.9"",""2.7"",""2.6"",""2.5"",""2.4"",""2.4"",""2.5"",""2.5"",""0"""
"Schweizer,""Waadt"",,""3.8"",""3.7"",""3.6"",""3.5"",""3.4"",""3.4"",""3.5"",""3.6"",""3.5"",""0"""
"Schweizer,""Wallis"",,""2.8"",""2.7"",""2.4"",""2.3"",""2.3"",""2.1"",""2.2"",""2.2"",""2.1"",""0"""
"Schweizer,""Neuenburg"",,""4.9"",""4.9"",""4.7"",""4.6"",""4.4"",""4.2"",""4.3"",""4.3"",""4.2"",""0"""
"Schweizer,""Genf"",,""5"",""4.8"",""4.8"",""4.7"",""4.6"",""4.6"",""4.7"",""4.8"",""4.8"",""0"""
"Schweizer,""Jura"",,""4.1"",""4.1"",""3.8"",""3.7"",""3.5"",""3.4"",""3.4"",""3.8"",""3.6"",""0"""
